Semana,Início,Término
1,29/12/2024,04/01/2025
2,05/01/2025,11/01/2025
3,12/01/2025,18/01/2025
4,19/01/2025,25/01/2025
5,26/01/2025,01/02/2025
6,02/02/2025,08/02/2025
7,09/02/2025,15/02/2025
8,16/02/2025,22/02/2025
9,23/02/2025,01/03/2025
10,02/03/2025,08/03/2025
11,09/03/2025,15/03/2025
12,16/03/2025,22/03/2025
13,23/03/2025,29/03/2025
14,30/03/2025,05/04/2025
15,06/04/2025,12/04/2025
16,13/04/2025,19/04/2025
17,20/04/2025,26/04/2025
18,27/04/2025,03/05/2025
19,04/05/2025,10/05/2025
20,11/05/2025,17/05/2025
21,18/05/2025,24/05/2025
22,25/05/2025,31/05/2025
23,01/06/2025,07/06/2025
24,08/06/2025,14/06/2025
25,15/06/2025,21/06/2025
26,22/06/2025,28/06/2025
27,29/06/2025,05/07/2025
28,06/07/2025,12/07/2025
29,13/07/2025,19/07/2025
30,20/07/2025,26/07/2025
31,27/07/2025,02/08/2025
32,03/08/2025,09/08/2025
33,10/08/2025,16/08/2025
34,17/08/2025,23/08/2025
35,24/08/2025,30/08/2025
36,31/08/2025,06/09/2025
37,07/09/2025,13/09/2025
38,14/09/2025,20/09/2025
39,21/09/2025,27/09/2025
40,28/09/2025,04/10/2025
41,05/10/2025,11/10/2025
42,12/10/2025,18/10/2025
43,19/10/2025,25/10/2025
44,26/10/2025,01/11/2025
45,02/11/2025,08/11/2025
46,09/11/2025,15/11/2025
47,16/11/2025,22/11/2025
48,23/11/2025,29/11/2025
49,30/11/2025,06/12/2025
50,07/12/2025,13/12/2025
51,14/12/2025,20/12/2025
52,21/12/2025,27/12/2025
53,28/12/2025,03/01/2026
