microrregiao,codigo,municipio
Vassouras,014,Engenheiro Paulo de Frontin
Vassouras,014,Mendes
Vassouras,014,Miguel Pereira
Vassouras,014,Paracambi
Vassouras,014,Paty do Alferes
Vassouras,014,Vassouras
Serrana,015,Petrópolis
Serrana,015,Teresópolis
Serrana,015,São José do Vale do Rio Preto
Macacu-Caceribu,016,Cachoeiras de Macacu
Macacu-Caceribu,016,Rio Bonito
Itaguaí,017,Itaguaí
Itaguaí,017,Mangaratiba
Itaguaí,017,Seropédica
Rio de Janeiro,018,Belford Roxo
Rio de Janeiro,018,Duque de Caxias
Rio de Janeiro,018,Guapimirim
Rio de Janeiro,018,Itaboraí
Rio de Janeiro,018,Japeri
Rio de Janeiro,018,Magé
Rio de Janeiro,018,Maricá
Rio de Janeiro,018,Mesquita
Rio de Janeiro,018,Nilópolis
Rio de Janeiro,018,Niterói
Rio de Janeiro,018,Nova Iguaçu
Rio de Janeiro,018,Queimados
Rio de Janeiro,018,Rio de Janeiro
Rio de Janeiro,018,São Gonçalo
Rio de Janeiro,018,São João de Meriti
Rio de Janeiro,018,Tanguá
