Mesoregiao,CodigoMeso,NumMicro,Microregiao,CodigoMicro
Noroeste Fluminense,01,13,Itaperuna,001
Noroeste Fluminense,01,13,Santo Antônio de Pádua,002
Norte Fluminense,02,9,Campos dos Goytacazes,003
Norte Fluminense,02,9,Macaé,004
Centro Fluminense,03,16,Três Rios,005
Centro Fluminense,03,16,Cantagalo-Cordeiro,006
Centro Fluminense,03,16,Nova Friburgo,007
Centro Fluminense,03,16,Santa Maria Madalena,008
Baixadas Litorâneas,04,10,Bacia de São João,009
Baixadas Litorâneas,04,10,Lagos,010
Sul Fluminense,05,14,Vale do Paraíba Fluminense,011
Sul Fluminense,05,14,Barra do Piraí,012
Sul Fluminense,05,14,Baía da Ilha Grande,013
Metropolitana do Rio de Janeiro,06,30,Vassouras,014
Metropolitana do Rio de Janeiro,06,30,Serrana,015
Metropolitana do Rio de Janeiro,06,30,Macacu-Caceribu,016
Metropolitana do Rio de Janeiro,06,30,Itaguaí,017
Metropolitana do Rio de Janeiro,06,30,Rio de Janeiro,018
